Date,PPM
2024-07-28,424.97999999999996
2024-07-29,425.21
2024-07-30,425.02
2024-07-31,424.83
2024-08-01,424.79499999999996
2024-08-02,424.76
2024-08-03,424.74
2024-08-04,424.39
2024-08-05,424.57
2024-08-06,424.63
2024-08-07,424.66
2024-08-08,424.56
2024-08-09,422.26
2024-08-10,421.9925
2024-08-11,421.725
2024-08-12,421.4575
2024-08-13,421.19
2024-08-14,422.66
2024-08-15,422.91
2024-08-16,423.16
2024-08-17,423.41
2024-08-18,423.01
2024-08-19,422.89
2024-08-20,423.08
2024-08-21,423.27
2024-08-22,423.16
2024-08-23,422.24
2024-08-24,422.4
2024-08-25,421.72
2024-08-26,422.49
2024-08-27,420.45500000000004
2024-08-28,418.42
2024-08-29,420.125
2024-08-30,421.83
2024-08-31,422.35
2024-09-01,422.545
2024-09-02,422.74
2024-09-03,422.78
2024-09-04,422.09
2024-09-05,421.4
2024-09-06,422.1
2024-09-07,422.64
2024-09-08,422.4
2024-09-09,422.075
2024-09-10,421.75
2024-09-11,421.8225
2024-09-12,421.895
2024-09-13,421.96750000000003
2024-09-14,422.04
2024-09-15,422.13
2024-09-16,421.9
2024-09-17,421.88
2024-09-18,422.03
2024-09-19,421.73
2024-09-20,421.99
2024-09-21,422.19
2024-09-22,422.078
2024-09-23,421.966
2024-09-24,421.854
2024-09-25,421.742
2024-09-26,421.63
2024-09-27,421.79
2024-09-28,421.84333333333336
2024-09-29,421.89666666666665
2024-09-30,421.95
2024-10-01,421.9266666666667
2024-10-02,421.9033333333333
2024-10-03,421.88
2024-10-04,422.27
2024-10-05,421.69
2024-10-06,422.27
2024-10-07,422.0
2024-10-08,422.0625
2024-10-09,422.125
2024-10-10,422.1875
2024-10-11,422.25
2024-10-12,422.11
2024-10-13,422.51
2024-10-14,423.09
2024-10-15,422.46
2024-10-16,422.54
2024-10-17,422.525
2024-10-18,422.51
2024-10-19,422.44
2024-10-20,422.37
2024-10-21,422.21
2024-10-22,422.02
2024-10-23,422.09
2024-10-24,422.14
2024-10-25,422.3833333333333
2024-10-26,422.62666666666667
2024-10-27,422.87
2024-10-28,422.72
2024-10-29,422.58
2024-10-30,422.9
2024-10-31,423.7
2024-11-01,424.07
2024-11-02,423.22
2024-11-03,423.1166666666667
2024-11-04,423.0133333333334
2024-11-05,422.91
2024-11-06,423.0
2024-11-07,423.61
2024-11-08,423.61
2024-11-09,423.58
2024-11-10,423.57
2024-11-11,423.16
2024-11-12,423.34
2024-11-13,423.52
2024-11-14,423.74
2024-11-15,423.96
2024-11-16,424.05
2024-11-17,423.63
2024-11-18,423.65666666666664
2024-11-19,423.68333333333334
2024-11-20,423.71
2024-11-21,424.37
2024-11-22,424.09
2024-11-23,423.98
2024-11-24,424.48
2024-11-25,424.48
2024-11-26,424.39
2024-11-27,424.3
2024-11-28,424.43
2024-11-29,424.88
2024-11-30,424.95
2024-12-01,425.1
2024-12-02,424.61
2024-12-03,424.94
2024-12-04,424.875
2024-12-05,424.81
2024-12-06,424.64
2024-12-07,425.58
2024-12-08,425.26
2024-12-09,425.05
2024-12-10,425.88
2024-12-11,427.85
2024-12-12,424.97
2024-12-13,424.86
2024-12-14,425.85
2024-12-15,425.06
2024-12-16,424.7
2024-12-17,424.34
2024-12-18,424.61
2024-12-19,425.04
2024-12-20,425.76
2024-12-21,425.73
2024-12-22,425.7
2024-12-23,425.49
2024-12-24,425.43
2024-12-25,425.6
2024-12-26,425.95
2024-12-27,425.53
2024-12-28,425.43
2024-12-29,425.33
2024-12-30,425.72
2024-12-31,427.16
